tag,question,answer
admission,How to take admission?,Admissions start in June. Apply online through the college website.
admission,What is the admission process?,"Fill application form, upload documents and pay fees."
admission,When does admission start?,Admissions usually start in June every year.
admission,Is online admission available?,"Yes, online admission facility is available."
admission,Is entrance exam required?,Some courses require entrance exams.
admission,What documents are required for admission?,"Marksheet, caste certificate and Aadhaar card are required."
admission,Is offline admission available?,"Yes, offline admission is available at college office."
admission,Can I change course after admission?,"Yes, course change is allowed within first week."
admission,Is admission merit based?,"Yes, admission is based on merit list."
admission,Is admission open for diploma students?,"Yes, diploma students can apply."
fees,What is the course fee?,"Average course fee is Rs 25,000 per year."
fees,Is fee refundable?,Fees are refundable as per college rules.
fees,Are installments allowed?,"Yes, installments are allowed for selected courses."
fees,What is hostel fee?,"Hostel fee is Rs 30,000 per year."
fees,Is scholarship available?,"Yes, government scholarships are available."
fees,Is late fee fine applicable?,"Yes, late fee fine may be applicable."
fees,What is exam fee?,"Exam fee is Rs 1,200 per semester."
fees,Is library fee included?,"Yes, library fee is included in total fees."
fees,Are fees different for reserved category?,"Yes, fees are lower for reserved categories."
fees,How to pay college fees?,Fees can be paid online or at cash counter.
courses,Which courses are available?,"BA, BSc, BCA, BCom, MSc courses are available."
courses,Is BCA course available?,"Yes, BCA course is available."
courses,Is MSc available?,"Yes, MSc is available in selected subjects."
courses,What are UG courses?,"BA, BSc, BCA and BCom are UG courses."
courses,What are PG courses?,MSc and MA are PG courses.
courses,Is AI and Data Science course available?,"Yes, AI and Data Science course is available."
courses,Is Computer Science course available?,"Yes, Computer Science course is available."
courses,What is course duration?,UG courses are 3 years and PG courses are 2 years.
courses,Are certificate courses available?,"Yes, short-term certificate courses are available."
courses,Is distance learning available?,"No, distance learning is not available."
exam,When is the exam conducted?,Exams are conducted in March and October.
exam,Is exam online or offline?,Exams are conducted offline.
exam,What is exam pattern?,Written exams with theory and practicals.
exam,How to get hall ticket?,Hall ticket is available on student portal.
exam,When are results declared?,Results are declared within 30 days.
exam,What is passing criteria?,Minimum 40 percent marks required to pass.
exam,Is revaluation facility available?,"Yes, revaluation facility is available."
exam,What is backlog exam?,Backlog exam is for failed subjects.
